iter	Passed	Remaining
0	138	138376
1	140	69894
2	141	47009
3	142	35551
4	144	28700
5	145	24117
6	147	20941
7	149	18499
8	151	16640
9	153	15175
10	154	13914
11	157	13004
12	159	12106
13	161	11339
14	162	10668
15	167	10276
16	169	9773
17	170	9304
18	172	8912
19	174	8536
20	177	8256
21	179	7959
22	180	7661
23	182	7407
24	186	7254
25	187	7040
26	189	6825
27	190	6616
28	191	6426
29	193	6252
30	194	6086
31	196	5953
32	198	5816
33	199	5679
34	201	5552
35	202	5428
36	205	5349
37	209	5308
38	211	5207
39	212	5109
40	214	5024
41	216	4934
42	217	4846
43	219	4765
44	223	4743
45	225	4666
46	226	4592
47	228	4524
48	229	4460
49	231	4394
50	232	4329
51	234	4277
52	236	4233
53	238	4177
54	239	4120
55	241	4066
56	242	4016
57	244	3968
58	245	3920
59	247	3875
60	249	3844
61	251	3800
62	252	3756
63	253	3714
64	255	3677
65	257	3637
66	258	3597
67	259	3561
68	261	3527
69	263	3497
70	264	3462
71	265	3426
72	267	3396
73	268	3363
74	270	3331
75	271	3299
76	272	3270
77	274	3242
78	276	3217
79	277	3189
80	278	3163
81	280	3135
82	280	3101
83	281	3075
84	283	3048
85	284	3028
86	286	3006
87	288	2994
88	290	2976
89	292	2955
90	293	2932
91	294	2909
92	296	2888
93	297	2868
94	299	2849
95	300	2830
96	302	2816
97	303	2796
98	305	2776
99	306	2757
100	307	2740
101	309	2722
102	310	2704
103	311	2685
104	313	2669
105	314	2655
106	316	2639
107	317	2623
108	318	2606
109	320	2590
110	321	2575
111	322	2559
112	324	2546
113	325	2530
114	327	2516
115	328	2502
116	329	2487
117	330	2473
118	332	2459
119	333	2445
120	335	2437
121	336	2423
122	337	2409
123	339	2398
124	341	2389
125	343	2380
126	344	2366
127	345	2354
128	347	2343
129	348	2332
130	349	2320
131	351	2308
132	352	2298
133	354	2288
134	355	2278
135	356	2267
136	358	2256
137	359	2245
138	360	2235
139	362	2224
140	363	2215
141	364	2203
142	365	2193
143	367	2187
144	369	2178
145	370	2168
146	372	2160
147	373	2149
148	374	2140
149	376	2131
150	377	2122
151	378	2114
152	380	2107
153	382	2099
154	383	2089
155	384	2082
156	386	2074
157	387	2066
158	388	2057
159	390	2048
160	391	2040
161	393	2033
162	394	2026
163	395	2018
164	397	2012
165	399	2005
166	400	1997
167	401	1989
168	403	1982
169	404	1974
170	405	1967
171	407	1961
172	408	1954
173	410	1947
174	411	1939
175	412	1931
176	413	1924
177	415	1917
178	416	1909
179	417	1902
180	418	1895
181	420	1890
182	421	1883
183	423	1876
184	424	1870
185	425	1863
186	427	1856
187	428	1849
188	429	1843
189	430	1837
190	432	1830
191	433	1824
192	435	1819
193	436	1813
194	437	1806
195	438	1800
196	440	1793
197	441	1787
198	442	1781
199	443	1775
200	445	1771
201	447	1767
202	448	1761
203	449	1755
204	451	1750
205	452	1744
206	453	1738
207	455	1732
208	456	1726
209	457	1722
210	459	1716
211	460	1711
212	461	1706
213	463	1701
214	464	1696
215	465	1691
216	467	1686
217	468	1681
218	470	1676
219	471	1672
220	473	1669
221	474	1664
222	476	1659
223	477	1654
224	478	1649
225	480	1645
226	481	1640
227	483	1636
228	484	1631
229	486	1629
230	488	1625
231	489	1621
232	491	1617
233	492	1613
234	494	1609
235	495	1604
236	497	1600
237	498	1596
238	499	1591
239	501	1587
240	502	1583
241	504	1579
242	505	1574
243	506	1570
244	508	1566
245	509	1561
246	510	1557
247	512	1553
248	514	1551
249	515	1547
250	517	1543
251	518	1538
252	519	1535
253	521	1531
254	522	1526
255	523	1522
256	525	1519
257	527	1517
258	528	1513
259	530	1509
260	531	1505
261	533	1502
262	534	1499
263	536	1495
264	537	1492
265	539	1489
266	541	1485
267	542	1482
268	544	1478
269	545	1474
270	546	1471
271	548	1467
272	549	1463
273	550	1459
274	552	1456
275	554	1454
276	555	1450
277	557	1446
278	558	1443
279	560	1440
280	561	1436
281	562	1432
282	564	1428
283	565	1425
284	567	1422
285	568	1419
286	569	1415
287	571	1412
288	572	1408
289	573	1404
290	575	1401
291	576	1398
292	578	1395
293	579	1391
294	581	1388
295	582	1385
296	583	1381
297	584	1377
298	586	1374
299	587	1370
300	588	1367
301	590	1363
302	591	1361
303	593	1357
304	594	1354
305	595	1350
306	596	1347
307	598	1344
308	599	1340
309	600	1337
310	601	1333
311	603	1330
312	605	1327
313	606	1324
314	607	1321
315	609	1319
316	610	1315
317	611	1312
318	613	1309
319	614	1306
320	616	1303
321	617	1300
322	619	1297
323	620	1294
324	621	1291
325	623	1288
326	624	1285
327	625	1282
328	627	1278
329	628	1275
330	629	1272
331	630	1269
332	632	1266
333	633	1263
334	634	1260
335	636	1257
336	637	1254
337	638	1250
338	639	1247
339	641	1244
340	642	1241
341	643	1238
342	645	1236
343	646	1233
344	648	1230
345	649	1227
346	650	1224
347	651	1221
348	653	1218
349	654	1215
350	655	1212
351	657	1209
352	658	1207
353	659	1203
354	660	1200
355	662	1197
356	663	1195
357	664	1192
358	666	1189
359	667	1186
360	669	1184
361	670	1182
362	672	1179
363	673	1176
364	674	1174
365	676	1171
366	677	1168
367	678	1165
368	679	1162
369	681	1159
370	682	1157
371	683	1154
372	685	1152
373	686	1149
374	687	1146
375	689	1143
376	690	1140
377	691	1137
378	692	1135
379	693	1132
380	695	1129
381	697	1127
382	698	1125
383	699	1122
384	700	1119
385	702	1117
386	703	1114
387	704	1111
388	705	1108
389	707	1106
390	708	1103
391	710	1101
392	711	1099
393	712	1096
394	714	1093
395	715	1090
396	716	1088
397	717	1085
398	719	1083
399	720	1080
400	722	1078
401	723	1076
402	724	1073
403	726	1071
404	727	1068
405	728	1066
406	730	1063
407	731	1061
408	732	1058
409	733	1055
410	735	1053
411	736	1051
412	738	1049
413	739	1046
414	740	1044
415	741	1041
416	743	1039
417	744	1036
418	745	1034
419	747	1031
420	748	1029
421	749	1026
422	751	1024
423	752	1022
424	753	1019
425	754	1017
426	756	1014
427	757	1012
428	758	1009
429	759	1007
430	761	1004
431	762	1002
432	764	1000
433	765	998
434	766	995
435	768	993
436	769	991
437	770	988
438	771	986
439	773	983
440	774	981
441	775	979
442	777	977
443	778	974
444	779	972
445	781	970
446	782	968
447	784	966
448	786	964
449	787	962
450	788	960
451	789	957
452	791	955
453	792	952
454	793	950
455	795	948
456	796	946
457	797	944
458	799	942
459	800	940
460	802	937
461	803	935
462	805	933
463	806	931
464	807	929
465	808	926
466	810	924
467	811	922
468	813	920
469	814	918
470	815	916
471	816	913
472	818	911
473	819	909
474	820	907
475	821	904
476	823	902
477	824	900
478	826	898
479	827	896
480	828	894
481	829	891
482	831	889
483	832	887
484	833	885
485	835	883
486	836	881
487	838	879
488	839	877
489	840	875
490	842	873
491	843	870
492	844	868
493	846	866
494	847	864
495	848	862
496	850	860
497	852	858
498	853	856
499	854	854
500	856	852
501	857	850
502	859	848
503	860	846
504	862	844
505	863	843
506	864	841
507	866	838
508	867	837
509	868	834
510	870	832
511	871	830
512	873	829
513	874	827
514	876	825
515	878	823
516	879	821
517	880	819
518	882	818
519	884	816
520	886	814
521	887	812
522	889	811
523	891	809
524	893	807
525	894	805
526	895	803
527	897	801
528	898	800
529	900	798
530	901	796
531	904	795
532	905	793
533	907	791
534	909	790
535	911	788
536	912	786
537	913	784
538	915	782
539	917	781
540	918	779
541	920	777
542	921	775
543	924	774
544	925	772
545	927	771
546	929	769
547	930	767
548	932	765
549	933	763
550	935	762
551	936	760
552	937	758
553	939	756
554	940	754
555	941	752
556	943	750
557	944	748
558	946	746
559	947	744
560	949	742
561	950	740
562	951	738
563	953	736
564	954	735
565	956	733
566	957	731
567	959	729
568	960	727
569	962	726
570	963	724
571	965	722
572	966	720
573	968	718
574	969	716
575	972	715
576	973	713
577	974	711
578	976	709
579	977	707
580	978	705
581	980	704
582	981	702
583	983	700
584	984	698
585	986	696
586	987	694
587	989	692
588	990	690
589	991	689
590	992	687
591	994	685
592	995	683
593	997	681
594	998	679
595	999	677
596	1001	675
597	1002	673
598	1003	671
599	1005	670
600	1006	668
601	1007	666
602	1009	664
603	1010	662
604	1012	660
605	1013	658
606	1014	656
607	1015	654
608	1017	652
609	1018	651
610	1019	649
611	1020	647
612	1022	645
613	1024	643
614	1025	641
615	1026	639
616	1027	638
617	1029	636
618	1030	634
619	1031	632
620	1032	630
621	1034	628
622	1035	626
623	1037	624
624	1038	623
